80 naalehu hawaii 19.22383330 -155.58766660 19.02250000 -155.47216660 223 128
81 nahuku hawaii 19.11050000 -155.82200000 19.02250000 -155.58766660 128 340
82 ka_lae hawaii 19.00316660 -155.79466660 18.90950000 -155.58500000 128 286
83 hoopuloa hawaii 19.47750000 -155.92850000 19.01433330 -155.82200000 556 128
84 captain_cook hawaii 19.62733330 -155.98866660 19.40833330 -155.88533330 271 128
85 kailua_kona hawaii 19.75433330 -156.06183330 19.57466660 -155.94700000 200 128
86 kiholo hawaii 19.85666660 -156.05083330 19.75433330 -155.77266660 128 347
87 kapalaoa hawaii 19.94966660 -155.92433330 19.85666660 -155.77266660 128 208
88 kawaihae hawaii 20.07916660 -155.86566660 19.94966660 -155.77266660 178 128
89 waimea_in_hawaii hawaii 20.07916660 -155.86566660 19.99516660 -155.50000000 128 557
90 kohala hawaii 20.17833330 -155.90500000 20.07916660 -155.70000000 128 264
91 hawi hawaii 20.26866660 -155.90500000 20.01783333 -155.70000000 156 128
92 honokaa hawaii 20.14383330 -155.63750000 20.04583330 -155.40950000 128 297
93 paauilo hawaii 20.07750000 -155.40950000 19.99666660 -155.27933330 128 206
94 weloka hawaii 20.01700000 -155.27933330 19.88366660 -155.16500000 149 128
95 honomu hawaii 19.93550000 -155.16500000 19.73933330 -155.08116660 299 128
49 hanalei kauai 22.23250000 -159.58766700 22.19416670 -159.37200000 128 720
50 molaa kauai 22.21500000 -159.37200000 22.16583330 -159.30916670 128 163
51 kapaa kauai 22.16583333 -159.33016670 22.05133330 -159.29216670 385 128
52 wailua kauai 22.06616670 -159.37116670 21.93000000 -159.33016670 425 128
53 lihue kauai 22.00266670 -159.44733330 21.93000000 -159.33016670 128 206
54 poipou kauai 21.90600000 -159.55216670 21.86816670 -159.38683330 128 559
55 hanapepe kauai 21.93050000 -159.64533330 21.88866670 -159.55216670 128 285
56 waimea_in_kauai kauai 21.97183330 -159.69333330 21.93050000 -159.62216670 128 220
57 ke_kaha kauai 22.00316667 -159.77166670 21.96016670 -159.69333330 128 233
58 mana kauai 22.08116670 -159.78783330 22.00316667 -159.74900000 257 128
59 lawai kauai 21.93000000 -159.55216670 21.86816670 -159.38683330 128 342
96 North_Kihei maui 20.7900298521 -156.466636845 20.7707771126 -156.445647857 128 139
97 Mid_Nihau kauai 21.9552607899 -160.1404878 21.9246852498 -160.105365848 128 147
98 Bay oahu 21.41659173 -158.039191823 21.3275629533 -157.929162611 128 158
99 bill ks033211 37.951088913333329 128.20579347037037 37.855821425555554 128.33133730740741 128 168
100 cindy ks033211 37.988307115555557 128.1352445 37.876097013333336 128.2724539148148 128 156
101 stuff ks033211 37.971919996666664 128.13191147777778 37.856099173333334 128.27217616296295 128 155
102 stuff1 ks033211 37.963587563333334 128.12219016296297 37.827491152222223 128.26745438148149 128 136
103 stuff5 ks033211 37.983029907777777 128.1213569074074 37.838601063333336 128.26078833703704 132 128
1 temp chin1 23.504000000000001 112.504 22.504000000000001 113.496 129 128
104 chin1a chin1 23.504000000000001 112.504 22.504000000000001 113.496 129 128
