bam 34.5 35 126.5 127.25 dd
mlj 34.5 35.0 126.75 127.25 dd
bill 34.5 35 126.5 127.25 hms
wbunch 34.95 35 126.5 127.25 dd
billl 36 38.25 128.1 128.4 dd
root 34.5 35 126.5 127.25 dd
