waimanalo          oahu 0 21.39700000   -157.72833330   21.30916670   -157.66650000     972    637 waimanalo.gif
hawaii           hawaii 0 20.43839928   -156.18850463   18.82688849   -154.69215782     896    768 hawaii_500k_one_quarter.gif    
hilo             hawaii 0 19.73933330   -155.16500000   19.64316660   -154.97766660     532    976 hilo.gif        
keaau            hawaii 0 19.64316660   -155.16500000   19.55000000   -154.90300000     412   1092 keaau.gif       
kapoho           hawaii 0 19.57066660   -154.90300000   19.40700000   -154.80433330     905    514 kapoho.gif      
kalapana         hawaii 0 19.55000000   -154.99566660   19.33550000   -154.90300000    1187    483 kalapana.gif    
mountain_view    hawaii 0 19.64316660   -155.16500000   19.45550000   -154.90300000     831   1092 mountain_view.gif
kaena_in_hawaii  hawaii 0 19.36883330   -155.17883330   19.26150000   -154.99566660     594    954 kaena_in_hawaii.gif
naalehu          hawaii 0 19.22383330   -155.58766660   19.02250000   -155.47216660    1114    602 naalehu.gif     
nahuku           hawaii 0 19.11050000   -155.82200000   19.02250000   -155.58766660     389    977 nahuku.gif      
ka_lae           hawaii 0 19.00316660   -155.79466660   18.90950000   -155.58500000     518   1093 ka_lae.gif      
hoopuloa         hawaii 0 19.47750000   -155.92850000   19.01433330   -155.82200000    1139    246 hoopuloa.gif    
captain_cook     hawaii 0 19.62733330   -155.98866660   19.40833330   -155.88533330     969    430 captain_cook.gif
kailua_kona      hawaii 0 19.75433330   -156.06183330   19.57466660   -155.94700000     994    598 kailua_kona.gif 
kiholo           hawaii 0 19.85666660   -156.05083330   19.75433330   -155.77266660     453   1160 kiholo.gif      
kapalaoa         hawaii 0 19.94966660   -155.92433330   19.85666660   -155.77266660     686   1054 kapalaoa.gif    
kawaihae         hawaii 0 20.07916660   -155.86566660   19.94966660   -155.77266660     955    646 kawaihae.gif    
waimea_in_hawaii hawaii 0 20.07916660   -155.86566660   19.99516660   -155.50000000     265   1089 waimea_in_hawaii.gif      
kohala           hawaii 0 20.17833330   -155.90500000   20.07916660   -155.70000000     548   1068 kohala.gif      
hawi             hawaii 0 20.26866660   -155.90500000   20.01783333   -155.70000000    1110    854 hawi.gif        
honokaa          hawaii 0 20.14383330   -155.63750000   20.04583330   -155.40950000     542   1188 honokaa.gif     
paauilo          hawaii 0 20.07750000   -155.40950000   19.99666660   -155.27933330     596    904 paauilo.gif     
weloka           hawaii 0 20.01700000   -155.27933330   19.88366660   -155.16500000     984    794 weloka.gif      
honomu           hawaii 0 19.93550000   -155.16500000   19.73933330   -155.08116660    1085    437 honomu.gif
North_Kihei maui 1 20.7900298521 -156.466636845 20.7707771126 -156.445647857 426 434 North_Kihei.gif
Mid_Nihau kauai 1 21.9552607899 -160.1404878 21.9246852498 -160.105365848 677 721 Mid_Nihau.gif
Bay oahu 1 21.41659173 -158.039191823 21.3275629533 -157.929162611 985 1133 Bay.gif
ks033211 ks033211 0 38.002750 128.097748  37.752777 128.397720 900 1080 ks033211Back.gif
