pdc PDC_SHAPE 16   {Mixed Urban}                        URBAN         16
pdc PDC_SHAPE 17   {Other Urban}                        URBAN         17
pdc PDC_SHAPE 21   {Cropland & Pasture}                 AGRICULTURE   21
pdc PDC_SHAPE 22   Orchards                             FOREST        22
pdc PDC_SHAPE 23   {Confined Feeding Operations}        URBAN         23
pdc PDC_SHAPE 24   {Other Agricultural Land}            AGRICULTURE   24
pdc PDC_SHAPE 31   {Herbaceous Rangeland}               GRASSLAND     31
pdc PDC_SHAPE 32   {Shrub & Brush Rangeland}            SHRUB         32
pdc PDC_SHAPE 33   {Mixed Rangelands}                   SHRUB         33
pdc PDC_SHAPE 42   {Coniferous Forest Land}             FOREST        42
pdc PDC_SHAPE 51   {Streams and Canals}                 WATER         51
pdc PDC_SHAPE 52   Lakes                                WATER         52
pdc PDC_SHAPE 53   Reservoirs                           WATER         53
pdc PDC_SHAPE 54   {Bays & Estuaries}                   WATER         54
pdc PDC_SHAPE 61   {Forested Wetland}                   WETLANDS      61
pdc PDC_SHAPE 62   {Non-Forested Wetland}               WETLANDS      62
pdc PDC_SHAPE 72   Beaches                              BARREN        72
pdc PDC_SHAPE 73   {Sandy Areas other than Beaches}     BARREN        73
pdc PDC_SHAPE 74   {Bare Exposed Rock}                  BARREN        74
pdc PDC_SHAPE 75   {Strip Mines, Quarries, Gravel Pits} BARREN        75
pdc PDC_SHAPE 76   {Transitional Areas}                 BARREN        76
pdc PDC_SHAPE 77   {Mixed Barren Land}                  BARREN        77
pdc PDC_SHAPE 301   {Left Bank (of stream/river)}       DRAINAGE      -2
pdc PDC_SHAPE 302   Manmade                             DRAINAGE      -2
pdc PDC_SHAPE 305   Stream                              DRAINAGE      -2
pdc PDC_SHAPE 307   Aqueduct                            DRAINAGE      -2
pdc PDC_SHAPE 309   Ditch                               DRAINAGE      -2
pdc PDC_SHAPE 481  {Major Roads}                        ROADS         -1
pdc PDC_SHAPE 482  {Other Roads}                        OTHER_ROADS   -1
pdc PDC_SHAPE 480  {4WD Roads}                          TRAILS        -1
mil VMAP_0  7      {Political Boundary}                 BARREN         7
mil VMAP_0 22      {Aqueduct, Canal, Water Course}      DRAINAGE      -2
mil VMAP_0 20      {Inland Water Area}                  WATER         20
mil VMAP_0 23      {Trail EXS=2}                        TRAILS        -1
mil VMAP_0 24      {Trail EXS=5}                        TRAILS        -1
mil VMAP_0 25      {Trail EXS=28}                       TRAILS        -1
mil VMAP_0 26      {Road MED=0}                         OTHER_ROADS   -1
mil VMAP_0 27      {Road MED=2}                         OTHER_ROADS   -1
